Date,Group,Exercise,Sets,Total volume (kg),Max weight (kg)
17 Mar 2025,Chest,Bench press dumbell,"26x8
28x6
28x5",516,28.0
17 Mar 2025,Chest,Incline bench press dumbell,"22x8
22x7
22x6",462,22.0
17 Mar 2025,Chest,Inner pec machine,"45x8
45x7
45x6",945,45.0
17 Mar 2025,Back,Pullups,"76x7
76x6
76x5",1368,76.0
17 Mar 2025,Back,Lombar aparat,"10x10
10x9
10x8",270,10.0
17 Mar 2025,Back,Ramat 1 hand DB,"28x8
28x7
28x7",616,28.0
17 Mar 2025,Back,Pullover cable bara dreapta,"20x12
20x10
20x9",620,20.0
17 Mar 2025,Shoulders,Seated shoulder press,"18x9
18x8
18x8",450,18.0
17 Mar 2025,Shoulders,Lateral raises DB,"8x7
6x13
6x11",200,8.0
17 Mar 2025,Shoulders,Frontraise DB seated,"6x8
6x8
6x8",144,6.0
17 Mar 2025,Shoulders,One hand scripete umeri posteriori,"2.5x11
2.5x11
2.5x10",79,2.5
17 Mar 2025,Shoulders,Lu raises,"5x10
5x9
5x7",130,5.0
17 Mar 2025,Triceps,Triceps pushdown rope,"12.5x14
15x8
15x7",400,15.0
17 Mar 2025,Triceps,Skull crushers DB,"10x9
10x7
10x6",220,10.0
17 Mar 2025,Biceps,Seated biceps curls DB,"12x10
12x9
12x7",312,12.0
17 Mar 2025,Biceps,Biceps curls bara dreapta scripete,"20x9
20x8
17.5x9",497,20.0
17 Mar 2025,Legs (upper),Goblet squat,"30x11
35x8
40x6",850,40.0
17 Mar 2025,Legs (upper),Trap bar deadlift,"50x8
60x7
60x6",1180,60.0
17 Mar 2025,Legs (upper),Walking lounge,"30x7
30x6",390,30.0
17 Mar 2025,Legs (upper),Quad raise machine,"60x8
62.5x6
60x7",1275,62.5
24 Mar 2025,Chest,Bench press dumbell,"26x8
28x6
24x7",544,28.0
24 Mar 2025,Chest,Incline bench press dumbell,"20x10
20x10
20x9",580,20.0
24 Mar 2025,Chest,Inner pec machine,"40x12
45x9
45x8",1245,45.0
24 Mar 2025,Chest,"Aparat push WC One (poz 6, deget mijloc la mijloc)","60x10
60x9
50x10",1640,60.0
24 Mar 2025,Chest,Flies cable top,"10x11
10x9
10x7",270,10.0
24 Mar 2025,Back,Helcometru aparat cu discuri,"60x11
70x10
70x9",1990,70.0
24 Mar 2025,Back,Pullups,"77x5
77x4
77x4
77x5
77x4",1694,77.0
24 Mar 2025,Back,Lombar aparat,"10x10
10x10
10x10",300,10.0
24 Mar 2025,Back,Ramat 1 hand DB,"28x10
28x9
28x8",756,28.0
24 Mar 2025,Back,Pullover cable bara dreapta,"20x12
22.5x7
20x9",577,22.5
24 Mar 2025,Shoulders,Seated shoulder press,"18x10
18x9
18x9",504,18.0
24 Mar 2025,Shoulders,Aparat seated shoulder press,"40x10
40x9
40x8",1080,40.0
24 Mar 2025,Shoulders,Lateral raises DB,"8x8
8x7
7x9",183,8.0
24 Mar 2025,Shoulders,Frontraise DB seated,"6x8
6x8
6x8",144,6.0
24 Mar 2025,Shoulders,Facepulls,"20x10
20x9
17.5x10",555,20.0
24 Mar 2025,Shoulders,Reverse flies cable,"2.5x11
2.5x10
2.5x9",74,2.5
24 Mar 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata","15x10
15x9
15x9",420,15.0
24 Mar 2025,Shoulders,Shrughs banca,"22x15
22x12
22x10",814,22.0
24 Mar 2025,Triceps,Triceps pushdown rope,"15x11
15x10
12.5x12",465,15.0
24 Mar 2025,Triceps,Skull crushers DB,"10x10
10x8
9x10",270,10.0
24 Mar 2025,Triceps,Reverse cable sfoara,"12.5x12
15x10
15x9",435,15.0
24 Mar 2025,Biceps,Seated biceps curls DB,"12x10
12x9
12x8",324,12.0
24 Mar 2025,Biceps,Seated hammer curls DB,"12x8
10x10
10x9",286,12.0
24 Mar 2025,Biceps,Biceps curls bara dreapta scripete,"17.5x10
17.5x9
17.5x8",472,17.5
24 Mar 2025,Legs (upper),Goblet squat,"30x11
34x9
34x8",908,34.0
24 Mar 2025,Legs (upper),Sumo squat KB/BB,"20x17
28x13
32x10
32x10",1344,32.0
24 Mar 2025,Legs (upper),Trap bar deadlift,"60x8
60x8
60x8",1440,60.0
24 Mar 2025,Legs (upper),Hip thrusts,"60x10
60x10
60x8",1680,60.0
24 Mar 2025,Legs (upper),Straight leg DL DB,"22.5x8
22.5x6",315,22.5
24 Mar 2025,Legs (upper),Walking lounge,"25x9
25x8
25x8",625,25.0
24 Mar 2025,Legs (upper),Quad raise machine,"55x8
55x7
50x8",1225,55.0
24 Mar 2025,Legs (upper),Lying hammstring curls,"30x8
25x10
25x7",665,30.0
24 Mar 2025,Legs (upper),Bulgarian split squats,"15x8
15x8",240,15.0
24 Mar 2025,Legs (lower),Gambe machine,"40x10
40x8",720,40.0
24 Mar 2025,Legs (lower),Gambe presa,"110x13
110x11
100x13",3940,110.0
31 Mar 2025,Chest,Bench press dumbell,"24x11
24x9
24x7",648,24.0
31 Mar 2025,Chest,Incline bench press barbell,"45x8
45x8
45x8",1080,45.0
31 Mar 2025,Chest,Inner pec machine,"40x10
40x10",800,40.0
31 Mar 2025,Chest,"Aparat push WC One (poz 6, deget mijloc la mijloc)","60x8
50x11
50x10
50x8",1930,60.0
31 Mar 2025,Chest,Flies cable top,"10x9
10x8
7.5x10
7.5x10",320,10.0
31 Mar 2025,Back,Helcometru V Bar,"50x10
50x9
45x8",1310,50.0
31 Mar 2025,Back,Helcometru clasic (un pic lăsat pe spate),"45x10
45x9
40x9",1215,45.0
31 Mar 2025,Back,Pullups,"77x7
77x5
77x5",1309,77.0
31 Mar 2025,Back,Ramat 1 hand DB,"28x10
28x9
28x8",756,28.0
31 Mar 2025,Back,Pullover cable bara dreapta,"20x10
20x10
20x9",580,20.0
31 Mar 2025,Shoulders,Seated shoulder press,"18x10
18x10
18x9",522,18.0
31 Mar 2025,Shoulders,Lateral raises DB,"6x10
6x10
6x9
6x8",222,6.0
31 Mar 2025,Shoulders,Frontraise DB seated,"6x8
6x8
6x8",144,6.0
31 Mar 2025,Shoulders,Facepulls,"20x9
20x9
20x8
17.5x9",677,20.0
31 Mar 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata","15x10
15x10
15x8",420,15.0
31 Mar 2025,Triceps,Triceps pushdown bara V,"20x12
20x10
20x10",640,20.0
31 Mar 2025,Triceps,Triceps pulldown reverse,"15x11
17.5x10
17.5x9",497,17.5
31 Mar 2025,Biceps,Seated biceps curls DB,"12x11
12x9
12x8",336,12.0
31 Mar 2025,Biceps,Biceps curls bara dreapta scripete,"17.5x10
17.5x10
17.5x8",490,17.5
31 Mar 2025,Legs (upper),Goblet squat,"30x10
30x10
32x10",920,32.0
31 Mar 2025,Legs (upper),Sumo squat KB/BB,"30x11
30x10
30x9
30x9",1170,30.0
31 Mar 2025,Legs (upper),Straight leg DL DB,"16x11
16x8
14x11",458,16.0
31 Mar 2025,Legs (upper),Walking lounge,"24x10
24x9",456,24.0
31 Mar 2025,Legs (upper),Quad raise machine,"45x10
45x9
42.5x9",1237,45.0
31 Mar 2025,Legs (upper),Lying hammstring curls,25x8,200,25.0
7 Apr 2025,Chest,Bench press barbell,"40x14
50x10
50x10",1560,50.0
7 Apr 2025,Chest,Incline bench press barbell,"40x12
45x10
45x8",1290,45.0
7 Apr 2025,Chest,Inner pec machine,"45x10
45x9
40x12",1335,45.0
7 Apr 2025,Chest,Flies cable top,"10x10
10x7
7.5x9
7.5x8",297,10.0
7 Apr 2025,Back,Helcometru V Bar,"50x10
50x9
45x9",1355,50.0
7 Apr 2025,Back,Helcometru clasic (un pic lăsat pe spate),"45x11
50x10
45x9",1400,50.0
7 Apr 2025,Back,Pullups,"77x7
77x6
77x5
78x5
78x5",2166,78.0
7 Apr 2025,Back,Lombar aparat,"10x10
10x10
10x10
10x10
10x10",500,10.0
7 Apr 2025,Back,Pullover cable bara dreapta,"20x11
20x10
20x8",580,20.0
7 Apr 2025,Shoulders,Seated shoulder press,"18x10
18x10
18x8
16x10",664,18.0
7 Apr 2025,Shoulders,Lateral raises DB,"5x12
5x12
5x10
5x10",220,5.0
7 Apr 2025,Shoulders,Frontraise DB seated,"5x11
5x10
5x9",150,5.0
7 Apr 2025,Shoulders,Kettlebell press,"8x10
8x10
8x10",240,8.0
7 Apr 2025,Shoulders,Lu raises,"5x10
5x9
5x8",135,5.0
7 Apr 2025,Shoulders,Facepulls,"20x10
20x10
20x9
20x8",740,20.0
7 Apr 2025,Shoulders,Reverse flies cable,"2.5x11
2.5x10
2.5x9",74,2.5
7 Apr 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata",15x10,150,15.0
7 Apr 2025,Triceps,Triceps pushdown rope,"15x11
15x11
15x9
15x8",585,15.0
7 Apr 2025,Triceps,Skull crushers DB,"10x11
10x10
10x8",290,10.0
7 Apr 2025,Triceps,Triceps pulldown reverse,"17.5x10
17.5x9
15x10
12.5x10",607,17.5
7 Apr 2025,Biceps,Seated biceps curls DB,"12x11
12x9
12x8
10x8",416,12.0
7 Apr 2025,Biceps,Seated hammer curls DB,"10x11
10x10
10x9",300,10.0
7 Apr 2025,Biceps,Biceps curls bara dreapta scripete,"15x10
15x10
15x9
15x8",555,15.0
7 Apr 2025,Legs (upper),Sumo squat KB/BB,"30x11
30x10
30x10
30x9
30x8",1440,30.0
7 Apr 2025,Legs (upper),Quad raise machine,"45x10
45x10
45x9
45x8
40x10",2065,45.0
7 Apr 2025,Legs (upper),Lying hammstring curls,"25x10
25x10
25x8
20x10
20x8",1060,25.0
7 Apr 2025,Legs (upper),Solduri aparat,"45x11
45x9
45x9",1305,45.0
7 Apr 2025,Legs (upper),Inghinali aparat,"35x11
35x10
35x10
35x9
35x8",1680,35.0
7 Apr 2025,Legs (lower),Gambe machine,"40x10
40x8
40x8
30x10",1340,40.0
14 Apr 2025,Chest,Bench press barbell,"40x13
50x11
50x10
50x8
50x7",2320,50.0
14 Apr 2025,Chest,Incline bench press barbell,"40x13
45x10
45x8
40x9
40x8",2010,45.0
14 Apr 2025,Chest,Inner pec machine,"47.5x10
45x10
45x9",1330,47.5
14 Apr 2025,Back,Helcometru V Bar,"50x10
50x10
50x8
45x9
45x8",2165,50.0
14 Apr 2025,Back,Pullups,"77x8
77x6
77x5",1463,77.0
14 Apr 2025,Back,Lombar aparat,"10x10
10x10
10x10
10x10
10x10",500,10.0
14 Apr 2025,Back,Pullover cable bara dreapta,"20x10
20x11
20x10",620,20.0
14 Apr 2025,Shoulders,Seated shoulder press,"18x11
18x10
18x9
16x7",652,18.0
14 Apr 2025,Shoulders,Lateral raises DB,"5x12
5x12
5x10
5x10",220,5.0
14 Apr 2025,Shoulders,Reverse flies cable,"2.5x12
2.5x11
2.5x11
2.5x10",109,2.5
14 Apr 2025,Triceps,Triceps pushdown bara V,"20x12
20x11
20x10
17.5x10
17.5x9",992,20.0
14 Apr 2025,Biceps,Seated biceps curls DB,"12x10
12x10
12x8
10x9
8x9",498,12.0
14 Apr 2025,Biceps,Seated hammer curls DB,"10x11
10x10
10x10",310,10.0
14 Apr 2025,Legs (upper),Sumo squat KB/BB,"28x13
28x11
28x10",952,28.0
14 Apr 2025,Legs (upper),Hip lateral raises cu scripete,"2.5x12
2.5x10
2.5x10",80,2.5
21 Apr 2025,Chest,Bench press barbell,"40x14
50x11
60x7
50x10
50x8",2430,60.0
21 Apr 2025,Chest,Incline bench press barbell,"45x10
45x10
45x8",1260,45.0
21 Apr 2025,Chest,Inner pec machine,"47.5x11
47.5x10
47.5x9",1424,47.5
21 Apr 2025,Back,Helcometru clasic (un pic lăsat pe spate),"50x11
50x10
50x8
45x9
45x7",2170,50.0
21 Apr 2025,Back,Pullups,"77x8
77x5
77x6",1463,77.0
21 Apr 2025,Back,Lombar aparat,"10x11
10x10
10x10",310,10.0
21 Apr 2025,Back,Pullover cable bara dreapta,"20x11
20x10
20x10",620,20.0
21 Apr 2025,Back,Ramat aparate,"70x9
65x10
60x10",1880,70.0
21 Apr 2025,Shoulders,Seated shoulder press,"18x11
18x10
18x9",540,18.0
21 Apr 2025,Shoulders,Lateral raises DB,"5x12
5x12
5x11",175,5.0
21 Apr 2025,Shoulders,Facepulls,"20x11
20x11
20x10",640,20.0
21 Apr 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata","15x10
15x10
15x9",435,15.0
21 Apr 2025,Triceps,Triceps pushdown rope,"17.5x9
15x11
15x10",472,17.5
21 Apr 2025,Triceps,Skull crushers DB,"10x11
10x10
10x10",310,10.0
21 Apr 2025,Biceps,Seated biceps curls DB,"12x11
12x10
12x9",360,12.0
21 Apr 2025,Biceps,Seated hammer curls DB,"10x10
10x10
10x9",290,10.0
21 Apr 2025,Legs (upper),Front squat,"30x11
30x10
30x9
30x8
30x7",1350,30.0
21 Apr 2025,Legs (upper),Sumo squat KB/BB,"28x10
28x10
28x8
28x8",1008,28.0
21 Apr 2025,Legs (upper),Trap bar deadlift,"60x5
60x9
60x7",1260,60.0
21 Apr 2025,Legs (upper),Quad raise machine,"45x10
45x10
40x10",1300,45.0
21 Apr 2025,Legs (upper),Lying hammstring curls,"25x11
25x10
25x9",750,25.0
21 Apr 2025,Legs (upper),Hip lateral raises cu scripete,"2.5x11
2.5x11
2.5x10",79,2.5
21 Apr 2025,Legs (lower),Gambe presa,"110x13
110x13
110x10
100x10",4960,110.0
28 Apr 2025,Chest,Bench press barbell,"40x14
50x11
50x10
50x9
50x8",2460,50.0
28 Apr 2025,Chest,Incline bench press barbell,"45x11
45x10
45x9
45x8",1710,45.0
28 Apr 2025,Chest,Flies cable top,"10x10
10x10
10x9",290,10.0
28 Apr 2025,Chest,Flies cable bottom,"5x11
5x10
5x9",150,5.0
28 Apr 2025,Back,Pullups,"78x7
78x6
78x5
78x4",1716,78.0
28 Apr 2025,Back,Lombar aparat,"10x11
10x10
10x10",310,10.0
28 Apr 2025,Back,Ramat 1 hand DB,"24x10
24x10
24x9",696,24.0
28 Apr 2025,Back,Pullover cable bara dreapta,"20x11
20x10
20x10",620,20.0
28 Apr 2025,Shoulders,Seated shoulder press,"18x11
20x10
20x9",578,20.0
28 Apr 2025,Shoulders,Lateral raises DB,"6x11
6x10
6x10",186,6.0
28 Apr 2025,Shoulders,Frontraise DB seated,"6x10
6x9
6x9",168,6.0
28 Apr 2025,Shoulders,Facepulls,"20x11
20x10
20x10",620,20.0
28 Apr 2025,Triceps,Skull crushers DB,"10x11
10x11
10x10",320,10.0
28 Apr 2025,Triceps,Triceps pulldown reverse,"17.5x10
17.5x10
17.5x10",525,17.5
28 Apr 2025,Biceps,Seated biceps curls DB,"12x11
12x10
12x9
10x10
10x8",540,12.0
28 Apr 2025,Biceps,Seated hammer curls DB,"10x11
10x10
10x9",300,10.0
28 Apr 2025,Legs (upper),Front squat,"30x11
30x11
30x8
30x8
30x7",1350,30.0
28 Apr 2025,Legs (upper),Sumo squat KB/BB,"28x10
28x10
28x9
28x8
28x8",1260,28.0
28 Apr 2025,Legs (upper),Straight leg DL DB,"10x11
10x10
10x9",300,10.0
28 Apr 2025,Legs (lower),Gambe presa,"130x13
120x12
120x10
110x10
110x9",6420,130.0
5 May 2025,Chest,Bench press barbell,"40x15
50x11
50x10
50x10
50x9",2600,50.0
5 May 2025,Chest,Incline bench press barbell,"45x11
45x10
45x10
45x9
45x8",2160,45.0
5 May 2025,Chest,Flies bench horizontal DB,"10x12
10x11
10x11
10x10
10x9",530,10.0
5 May 2025,Back,Pullups,"78x6
78x6
78x6
78x5",1794,78.0
5 May 2025,Back,Lombar America House (poz 3 sau 4),"22.5x10
30x8
30x7",675,30.0
5 May 2025,Back,Ramat 1 hand DB,"24x11
24x10
24x9
24x9",936,24.0
5 May 2025,Back,Pullover cable bara dreapta,"20x12
20x11
20x10",660,20.0
5 May 2025,Shoulders,Aparat seated shoulder press,"40x11
42.5x10
42.5x10
42.5x9
42.5x8",2012,42.5
5 May 2025,Shoulders,Lateral raises DB,"6x11
6x11
6x10
6x10
6x10",312,6.0
5 May 2025,Shoulders,Facepulls,"20x11
20x10
20x10",620,20.0
5 May 2025,Shoulders,Reverse flies cable,"2.5x11
2.5x10
2.5x10",77,2.5
5 May 2025,Triceps,Triceps pushdown rope,"15x12
15x12
15x11
15x10
15x8",795,15.0
5 May 2025,Biceps,Seated biceps curls DB,"12x11
12x10
12x9
12x7
10x9",534,12.0
5 May 2025,Legs (upper),Front squat,"30x8
30x10
30x8
30x7
30x5",1140,30.0
5 May 2025,Legs (upper),Sumo squat KB/BB,"28x11
28x10
28x10
28x10
28x8",1372,28.0
5 May 2025,Legs (upper),Hip thrusts,"60x8
60x8",960,60.0
5 May 2025,Legs (upper),Straight leg DL DB,"12x10
12x9
12x9
12x7",420,12.0
5 May 2025,Legs (lower),Gambe presa,"130x13
130x12
120x12
120x10
110x10",6990,130.0
12 May 2025,Chest,Bench press dumbell,"24x10
24x10
24x8
24x7
22x9",1038,24.0
12 May 2025,Chest,Incline bench press barbell,"45x12
45x10
45x10
45x9
45x9",2250,45.0
12 May 2025,Chest,Flies bench horizontal DB,"12x11
12x10
12x9
12x8
12x8",552,12.0
12 May 2025,Back,Pullups,"78x7
78x6
78x6
78x5
78x4",2184,78.0
12 May 2025,Back,Lombar America House (poz 3 sau 4),"22.5x10
22.5x9
22.5x8",607,22.5
12 May 2025,Back,Pullover cable bara dreapta,"20x11
20x10
20x10
20x7",760,20.0
12 May 2025,Back,Ramat aparate,"70x10
70x9
65x9
65x8",2435,70.0
12 May 2025,Shoulders,Seated shoulder press,"20x10
20x9
20x8
20x8
20x8",860,20.0
12 May 2025,Shoulders,Lateral raises DB,"6x11
6x11
6x10",192,6.0
12 May 2025,Shoulders,Facepulls,"20x11
20x11
20x10
20x9
20x8",980,20.0
12 May 2025,Triceps,Triceps pushdown bara V,"20x12
20x12
20x10
20x10
20x8",1040,20.0
12 May 2025,Triceps,Triceps pulldown reverse,"17.5x10
17.5x11
17.5x11",559,17.5
12 May 2025,Biceps,Seated biceps curls DB,"12x10
12x10
12x9
12x8
10x10",544,12.0
12 May 2025,Biceps,Seated hammer curls DB,"10x10
10x10
10x10",300,10.0
12 May 2025,Legs (upper),Front squat,"30x11
30x9
30x8
30x8
30x6",1260,30.0
12 May 2025,Legs (upper),Sumo squat KB/BB,"28x11
28x11
28x10
28x10
28x9",1428,28.0
12 May 2025,Legs (upper),Hip thrusts,"60x11
60x8
60x6",1500,60.0
12 May 2025,Legs (upper),Straight leg DL DB,"12x9
12x8
12x8",300,12.0
12 May 2025,Legs (upper),Straight leg DL BB,"30x10
30x7",510,30.0
12 May 2025,Legs (lower),Gambe presa,"130x12
130x10
120x11",4180,130.0
19 May 2025,Chest,Bench press barbell,"40x16
50x12
60x8
60x6
60x6",2440,60.0
19 May 2025,Chest,Incline bench press dumbell,"22x10
22x10
22x8
20x8
20x7",916,22.0
19 May 2025,Chest,Flies bench horizontal DB,"12x9
12x9
12x9
12x9
12x8",528,12.0
19 May 2025,Back,Pullups,"78x7
78x6
78x5
78x5
78x5",2184,78.0
19 May 2025,Back,Lombar America House (poz 3 sau 4),"22.5x10
22.5x10
30x8
30x6",870,30.0
19 May 2025,Back,Ramat 1 hand DB,"26x9
26x7
26x7
26x7
26x6",936,26.0
19 May 2025,Shoulders,Seated shoulder press,"20x11
20x9
20x8
20x8
20x8",880,20.0
19 May 2025,Shoulders,Lateral raises DB,"6x11
6x11
6x10
6x10
6x10",312,6.0
19 May 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata","17.5x8
17.5x8
15x9
15x8",535,17.5
19 May 2025,Shoulders,Shrugs usor aplecat,"24x9
24x8
22x11
22x8",826,24.0
19 May 2025,Triceps,Triceps pushdown rope,"15x10
15x10
15x9
15x8
15x6",645,15.0
19 May 2025,Triceps,Triceps pushdown bara V,"20x12
20x11
20x10
20x10
20x9",1040,20.0
19 May 2025,Biceps,Biceps curls BB,"25x11
25x10
30x7
25x10
25x9",1210,30.0
19 May 2025,Biceps,Biceps scripete one hand each,"7.5x11
7.5x9
7.5x8",209,7.5
19 May 2025,Legs (upper),Sumo squat KB/BB,"28x11
28x11
28x8
28x8
28x7",1260,28.0
19 May 2025,Legs (upper),Hack squat,"40x10
50x10
50x9
60x8
60x7",2250,60.0
19 May 2025,Legs (upper),Hip thrusts,"60x9
60x8
60x7
60x7
60x6",2220,60.0
19 May 2025,Legs (upper),Straight leg DL DB,"12x9
12x8
12x8",300,12.0
19 May 2025,Legs (lower),Gambe presa,"130x12
130x10
130x10",4160,130.0
